lat,lon,area_code,type_of_area,type_of_area_pred_rf,type_of_area_pred_cboost,type_of_area_pred_lgbm,type_of_area_pred_voting
36.90138888888889,140.76583333333335,jp07204010,unknown,suburban,suburban,suburban,suburban
-23.8626,151.27,openaq_6454,unknown,suburban,suburban,suburban,suburban
43.912879702044,25.9741576196171,openaq_9432,unknown,urban,urban,urban,urban
38.300388,29.738071,openaq_368953,unknown,urban,urban,urban,urban
42.67027777777778,141.68833333333333,jp01213220,unknown,urban,urban,urban,urban
40.81388888888888,140.7336111111111,jp02201080,unknown,urban,urban,urban,urban
43.357173,19.349157,openaq_302032,unknown,urban,urban,urban,urban
25.294147,121.539141,openaq_5415,unknown,suburban,suburban,rural,suburban
44.565803,-123.292706,openaq_357252,unknown,suburban,rural,suburban,rural
34.846944444444446,134.6963888888889,jp28201380,unknown,urban,urban,urban,urban
36.594722222222224,138.18805555555556,jp20201510,unknown,urban,urban,urban,urban
42.0494,-88.2731,openaq_2261,unknown,suburban,urban,suburban,suburban
52.543041,13.349326,openaq_4761,unknown,urban,urban,urban,urban
-53.158295492238,-70.921497482453,openaq_600,unknown,urban,urban,urban,urban
29.82,121.56,openaq_9793,unknown,urban,urban,urban,urban
27.8317,99.7056,2621A,unknown,urban,urban,urban,urban
-33.047466597243,-71.434512871895,openaq_2266,unknown,urban,urban,urban,urban
41.7867,123.4678,openaq_10198,unknown,urban,urban,urban,urban
43.7256,126.6772,1778A,unknown,suburban,rural,rural,rural
38.561733,-121.510592,openaq_7644,unknown,suburban,suburban,suburban,suburban
35.5051,112.85,2160A,unknown,urban,urban,urban,urban
37.80444444444444,140.92,jp07209080,unknown,urban,urban,urban,urban
27.8431,114.9886,openaq_9760,unknown,urban,urban,urban,urban
34.26054,-85.32333,openaq_2111,unknown,rural,rural,rural,rural
30.0203,122.122,1258A,unknown,urban,urban,urban,urban
34.67305555555555,135.70055555555555,jp29209510,unknown,urban,urban,urban,urban
43.613587,-79.507537,060429,unknown,suburban,suburban,suburban,suburban
17.4342359,78.4170318,openaq_5645,unknown,urban,urban,urban,urban
34.60611111111111,133.93472222222223,jp33201060,unknown,urban,urban,urban,urban
13.052371,80.251932,openaq_2461,unknown,urban,urban,urban,urban
11.679111,78.125052,openaq_358455,unknown,urban,urban,urban,urban
34.39055555555556,132.88972222222222,jp34203040,unknown,suburban,suburban,suburban,suburban
45.7181686321057,25.6241739849241,openaq_8761,unknown,suburban,suburban,suburban,suburban
35.602222222222224,139.51555555555555,jp14135070,unknown,urban,urban,urban,urban
37.6982,112.6991,openaq_8994,unknown,urban,suburban,urban,urban
54.51828,-128.59778,102501,unknown,suburban,suburban,suburban,suburban
34.68138888888889,134.9438888888889,jp28203030,unknown,urban,urban,urban,urban
35.42444444444444,140.0688888888889,jp12481090,unknown,suburban,rural,suburban,suburban
29.8142,114.3175,openaq_8989,unknown,suburban,suburban,urban,urban
32.8892,115.784,openaq_6187,unknown,urban,urban,urban,urban
36.57194444444445,136.6552777777778,jp17201550,unknown,urban,urban,urban,urban
43.8805,125.3297,openaq_10084,unknown,urban,urban,urban,urban
50.3666639994728,3.082778,openaq_5693,unknown,urban,urban,urban,urban
50.8407255326205,-0.147574894627678,openaq_225706,unknown,urban,urban,urban,urban
50.2391,127.5044,2264A,unknown,urban,urban,urban,urban
26.5894,104.8475,2579A,unknown,urban,urban,urban,urban
37.3419,-77.260803,openaq_2075,unknown,suburban,rural,suburban,rural
35.788333333333334,139.2752777777778,jp13205010,unknown,urban,urban,urban,urban
33.7214,113.3064,1831A,unknown,urban,urban,urban,urban
11.9266111,76.9311389,openaq_7288,unknown,urban,urban,urban,urban
37.4828,-122.2022,openaq_2152,unknown,urban,urban,urban,urban
36.59111111111111,136.91194444444446,jp16408060,unknown,suburban,suburban,suburban,suburban
36.061388888888885,139.51916666666668,jp11217510,unknown,urban,urban,urban,urban
22.755358,121.15045,openaq_3847,unknown,urban,urban,urban,urban
24.051555555556,-104.61136111111,openaq_7968,unknown,urban,urban,urban,urban
49.0952,-117.7469,102220,unknown,suburban,suburban,urban,suburban
32.76994,35.04226,openaq_11502,unknown,urban,urban,urban,urban
46.035,-74.4819,openaq_439,unknown,rural,rural,rural,rural
36.165,136.22583333333333,jp18366010,unknown,suburban,suburban,suburban,suburban
36.17444444444444,139.55583333333334,jp11216010,unknown,suburban,suburban,suburban,suburban
44.261694,-116.979172,openaq_1435,unknown,suburban,suburban,suburban,suburban
41.0036,-73.5853,openaq_1158,unknown,suburban,suburban,suburban,suburban
